date,amount,type,description,category,sender,raw_message
1970-01-01 00:28:29.805241872,100.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs100 on 07Mar24 by  (Ref no 406763971367)"
1970-01-01 00:28:30.999140416,2000.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs2000 on 21Mar24 by  (Ref no 444789638515)"
1970-01-01 00:28:31.778002615,100.0,unknown,Uncategorized,Others,sbiupi,"Ur 1st UPI Txn of Rs100.0 frm SBIN A/cX8589 is successful. If it's not u, visit ur branch or mail us at suXXXXXXXXX@sbi.co.in"
1970-01-01 00:28:25.273862877,148.0,unknown,Uncategorized,Others,airtel,Alert!90%-:  of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:26.261005567,148.0,unknown,Uncategorized,Others,airtel,Alert!50%-: of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:26.164198300,148.0,unknown,Uncategorized,Others,650003,"Introducing ULTIMATE SAVER PACK for smart savers like you! 
Get 15+ OTTs subscription with Airtel Xstream Play (28days), 15GB & much more as per current pack validity. Recharge with Rs148 pack today. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:24.007158918,24.0,unknown,Uncategorized,Others,carstf,"Hi Raman, Finance your dream car at the lowest EMIs starting at Rs. 6,000! Browse now : http://f49.bz/kpIvFc or call 00000004748 - CARS24"
1970-01-01 00:28:25.996079584,118.0,unknown,Uncategorized,Others,650002,"Offer for 8082XXX088 !
Recharge now to enjoy 12GB data as per current pack validity in Rs118. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:24.878548734,500.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs500 on 10Jan24 by  (Ref no 401062307592)"
1970-01-01 00:28:28.457908981,100.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs100 on 21Feb24 by  (Ref no 405285440390)"
1970-01-01 00:28:31.943113875,1000.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs1000 on 01Apr24 by  (Ref no 409294070751)"
1970-01-01 00:28:27.638030195,148.0,unknown,Uncategorized,Others,650003,"Introducing ULTIMATE SAVER PACK for smart savers like you! 
Get 15+ OTTs subscription with Airtel Xstream Play (28days), 15GB & much more as per current pack validity. Recharge with Rs148 pack today. Recharge on Airtel Thanks App with ZERO CONVENIENCE FEE  i.airtel.in/AirRech"
1970-01-01 00:28:26.081928297,65.0,unknown,Uncategorized,Others,650001,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:31.761543500,4000.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs4000 on 30Mar24 by  (Ref no 445657206061)"
1970-01-01 00:28:24.060574713,148.0,unknown,Uncategorized,Others,airtel,Alert!50%-: of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:30.175026560,500.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs500 on 11Mar24 by  (Ref no 407178454413)"
1970-01-01 00:28:27.617852353,148.0,unknown,Uncategorized,Others,airtel,Alert!90%-:  of daily highspeed data is consumed. Get 15GB data topup at just Rs148 ö valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:25.274398950,29.0,debit,your Airtel Mobile,Bills & Utilities,airtel,"Recharge of INR 29.00 is successful for your Airtel Mobile on 15-01-2024 04:49, Transaction ID 1389881548.Check your balance, validity, tariff and best recharges on Airtel Thanks App. Would you like to refer Airtel Prepaid to your friends & family and save Rs100 on your next recharge? Click i.airtel.in/ref"
1970-01-01 00:28:24.613247283,24.0,unknown,Uncategorized,Others,carstf,"Hi Raman, Finance your dream car at the lowest EMIs starting at Rs. 6,000! Browse now : http://f49.bz/kvpNoI or call 00000004748 - CARS24"
1970-01-01 00:28:25.122213914,300.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs300 on 13Jan24 by  (Ref no 401325240809)"
1970-01-01 00:28:26.604942002,118.0,unknown,Uncategorized,Others,650002,"Offer for 8082XXX088 !
Recharge now to enjoy 12GB data as per current pack validity in Rs118. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:23.918608247,65.0,unknown,Uncategorized,Others,650002,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:24.004078635,118.0,unknown,Uncategorized,Others,650003,"Offer for 8082XXX088 !
Recharge now to enjoy 12GB data as per current pack validity in Rs118. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:29.267022001,5.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs5 on 01Mar24 by  (Ref no 406160321621)"
1970-01-01 00:28:25.006276734,87.32,debit,Uncategorized,Others,cbssbi,Your AC XXXXX068589 Debited INR 87.32 on 11/01/24 -ECS/ACH RET CH. Avl Bal INR 52.68.-SBI
1970-01-01 00:28:25.271210915,148.0,unknown,Uncategorized,Others,airtel,Alert!50%-: of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:25.563785120,148.0,unknown,Uncategorized,Others,650003,"Introducing ULTIMATE SAVER PACK for smart savers like you! 
Get 15+ OTTs subscription with Airtel Xstream Play (28days), 15GB & much more as per current pack validity. Recharge with Rs148 pack today. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:28.148218356,1000.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs1000 on 17Feb24 by  (Ref no 441430142413)"
1970-01-01 00:28:31.877383396,118.0,unknown,Uncategorized,Others,650003,"Offer for 8082XXX088 !
Recharge now to enjoy 12GB data as per current pack validity in Rs118. Recharge on Airtel Thanks App with ZERO CONVENIENCE FEE  i.airtel.in/AirRech"
1970-01-01 00:28:30.212712654,9.0,debit,Uncategorized,Others,airbil,"
Hi janakraj, Bill for your Airtel Mobile 0000006088 dated 12-MAR-2024 has been generated. 
Amount to be paid: Rs  9.00
Due Date:  17-MAR-2024
Previous Due: Rs  -1.00
This month's charges: Rs  10.00 (inclusive of tax)

To view your bill or to make payment, please visit https://i.airtel.in/PPBillbreakup
To understand your bill, click https://youtu.be/y1JoFufRp30
"
1970-01-01 00:28:26.262196957,148.0,unknown,Uncategorized,Others,airtel,Alert!90%-:  of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:27.116380485,65.0,unknown,Uncategorized,Others,650001,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:27.483654656,100.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs100 on 09Feb24 by  (Ref no 440615255066)"
1970-01-01 00:28:25.307566157,19.0,unknown,Uncategorized,Others,650024,GREAT VALUE DATA PACK! Now get 1GB data with Rs19 Airtel pack. Valid for 1 day. Recharge now i.airtel.in/19-pack
1970-01-01 00:28:25.735061065,118.0,unknown,Uncategorized,Others,650002,"Offer for 8082XXX088 !
Recharge now to enjoy 12GB data as per current pack validity in Rs118. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:26.686767937,65.0,unknown,Uncategorized,Others,650001,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:24.360754453,118.0,unknown,Uncategorized,Others,650003,"Offer for 8082XXX088 !
Recharge now to enjoy 12GB data as per current pack validity in Rs118. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:24.974792834,500.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs500 on 11Jan24 by  (Ref no 401105158222)"
1970-01-01 00:28:27.292325164,65.0,unknown,Uncategorized,Others,650001,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Recharge on Airtel Thanks App with ZERO CONVENIENCE FEE  i.airtel.in/AirRech"
1970-01-01 00:28:27.459078993,65.0,unknown,Uncategorized,Others,650001,"Offer for 8082XXX088 !
Recharge now on Airtel Thanks App to enjoy 4GB+2GB data as per current pack validity in Rs65 pack. Recharge on Airtel Thanks App with ZERO CONVENIENCE FEE  i.airtel.in/AirRech"
1970-01-01 00:28:27.548644899,24.0,unknown,Uncategorized,Others,carstf,"Hi Raman, Finance your dream car with EMIs starting from Rs. 6,000! Book a FREE test drive: http://f49.bz/kYk489 or call 0000004748 -CARS24"
1970-01-01 00:28:27.599535951,148.0,unknown,Uncategorized,Others,airtel,Alert!50%-: of daily highspeed data is consumed. Get 15GB data topup at just Rs148 ö valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:25.946709035,148.0,unknown,Uncategorized,Others,airtel,Alert!90%-:  of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:29.811819808,1000.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs1000 on 07Mar24 by  (Ref no 443380920934)"
1970-01-01 00:28:23.824895124,18000.0,credit,Uncategorized,Others,650022,Your Airtel Axis Bank Credit Card is waiting. Don't miss out on up to Rs 18000 annual cashback. Complete your application today. Click i.airtel.in/CC1905_IN3
1970-01-01 00:28:25.137155074,19.0,unknown,Uncategorized,Others,650024,GREAT VALUE DATA PACK! Now get 1GB data with Rs19 Airtel pack. Valid for 1 day. Recharge now i.airtel.in/19-pack
1970-01-01 00:28:26.768461275,148.0,unknown,Uncategorized,Others,650003,"Introducing ULTIMATE SAVER PACK for smart savers like you! 
Get 15+ OTTs subscription with Airtel Xstream Play (28days), 15GB & much more as per current pack validity. Recharge with Rs148 pack today. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:32.119292181,500.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs500 on 03Apr24 by  (Ref no 446090689391)"
1970-01-01 00:28:24.820904896,148.0,unknown,Uncategorized,Others,airtel,Alert!50%-: of daily highspeed data is consumed. Get 15GB data topup at just Rs148 | valid till your current pack i.airtel.in/148pack
1970-01-01 00:28:25.990029844,24.0,unknown,Uncategorized,Others,carstf,"Hi Raman, Finance your dream car at the lowest EMIs starting at Rs. 6,000! Browse now : http://f49.bz/kJQIXB or call 00000004748 - CARS24"
1970-01-01 00:28:26.337646453,118.0,unknown,Uncategorized,Others,650002,"Offer for 8082XXX088 !
Recharge now to enjoy 12GB data as per current pack validity in Rs118. Get exclusive benefits on Thanks App. i.airtel.in/AirRech"
1970-01-01 00:28:25.645972518,1499.0,unknown,Uncategorized,Others,flpkrt,"Dear Customer, Instant Personal Loan on Flipkart: Get up to 5 lakhs*. EMI as low as Rs1499*. Apply & get approval in just 30 secs>

http://fkrt.it/MyW8FGNNNN"
1970-01-01 00:28:24.957317429,3928.0,debit,Uncategorized,Others,idfcfb,"Dear RAMAN  KUNDAL, your EMI presentation of Rs 3928 towards TWO WHEELER LOANS Loan account no *****3863 has bounced. We will again represent the EMI with immediate effect. Pls ensure to maintain sufficient balance in your bank account in order to avoid any additional bounce charges and CIBIL impact. Please ignore if already paid. IDFC FIRST Bank"
1970-01-01 00:28:27.378477911,148.0,unknown,Uncategorized,Others,650003,"Introducing ULTIMATE SAVER PACK for smart savers like you! 
Get 15+ OTTs subscription with Airtel Xstream Play (28days), 15GB & much more as per current pack validity. Recharge with Rs148 pack today. Recharge on Airtel Thanks App with ZERO CONVENIENCE FEE  i.airtel.in/AirRech"
1970-01-01 00:28:27.478263828,49.0,unknown,Uncategorized,Others,arwynk,"Missing out on uninterrupted music & trendiest songs? Grab Wynk Premium at just Rs49 and enjoy unlimited ad-free music, song downloads & hellotunes. Upgrade Now. Click here open.wynk.in/Getnow8"
1970-01-01 00:28:24.639276408,30.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs30 on 07Jan24 by  (Ref no 400761089297)"
1970-01-01 00:28:30.819887162,500.0,credit,Uncategorized,Others,sbiupi,"Dear SBI UPI User, ur A/cX8589 credited by Rs500 on 19Mar24 by  (Ref no 407998526413)"
1970-01-01 00:28:28.265618948,19.0,debit,your Airtel Mobile,Bills & Utilities,airtel,"Recharge of INR 19.00 is successful for your Airtel Mobile on 18-02-2024 19:43, Transaction ID 896258408.Check your balance, validity, tariff and best recharges on Airtel Thanks App. Would you like to refer Airtel Prepaid to your friends & family and save Rs100 on your next recharge? Click i.airtel.in/ref"
